,,,given,given,given,given,given,given,given,given,given,given,given,given
date,,,1,2,3,4,5,6,7,8,9,10,11,12
street,year,def,,,,,,,,,,,,
7.0,2020,2.0,23827.72,44073.24,0.0,32378.6,29854.03,13911.36,0.0,0.0,0.0,0.0,0.0,114798.395
7.0,2020,3.0,1366.6299999999999,1846.15,0.0,1354.645,527.47,455.545,599.4,700.13,737.06,1574.885,0.0,6018.983333333334
7.0,2021,5.0,0.0,28308.64,26392.205,29199.75,25243.65,22737.87,0.0,30984.020000000004,0.0,41906.33,29394.92,30334.15
7.0,2021,9.0,0.0,36521.09,44490.285,32267.62,32957.11,14714.77,0.0,0.0,0.0,0.0,0.0,20737.14
7.0,2021,10.0,0.0,1145.375,1765.7775,813.3149999999999,914.9749999999999,-932.1833333333334,0.0,905.54,0.0,1050.8575,984.345,851.325
8.0,2016,6.0,0.0,53417.09,45942.994999999995,38262.445,22896.825,7798.205,1026.795,1523.775,1224.76,536.705,595.46,47725.4625
8.0,2016,7.0,787.0700000000002,1046.9533333333334,1052.9366666666667,1256.345,975.1633333333333,1088.8333333333333,0.0,2048.851666666667,1676.79,1117.8616666666665,1170.1599999999999,1117.8625000000004
8.0,2017,6.0,43446.535,49981.115,50311.0,29396.33,17102.16,2332.0099999999998,0.0,859.71,558.81,983.8299999999999,5717.935,11140.29
8.0,2017,7.0,0.0,1300.9033333333334,1327.0516666666665,1307.4399999999998,1385.8883333333335,0.0,1235.5300000000004,1331.245,1150.0283333333334,1369.5774999999999,1359.125,336.51214285714286
8.0,2018,8.0,19672.58,26043.27090909091,24030.223636363637,20354.303636363635,18660.13818181818,12277.749090909092,12140.566666666668,13590.804,13129.207272727275,12369.864545454544,13445.57909090909,11716.683181818182
8.0,2019,8.0,15970.333636363637,17644.768,16324.708,19830.904545454545,19019.784545454546,12941.997272727273,14526.359090909089,12217.345454545453,22221.19090909091,14637.458181818183,16875.199999999997,13671.694705882352
8.0,2020,1.0,66179.1075,75359.86333333333,77232.17,60041.869999999995,51130.94999999999,43213.619999999995,89927.49,82796.19000000002,93249.92333333334,72351.32666666668,71475.67666666667,395274.8433333333
8.0,2020,2.0,0.0,37047.01833333333,37449.89000000001,30950.149999999998,18571.02,6188.009999999999,699.65,461.28,922.5533333333334,1080.365,1141.055,99913.87
8.0,2020,3.0,607.3933333333334,0.0,951.0483333333333,711.2883333333333,503.495,335.665,261.2175,1031.8899999999999,728.5933333333334,745.535,686.6833333333334,4571.585999999999
8.0,2021,5.0,71938.17666666668,79119.45,76325.33333333333,75826.53333333334,72747.21333333333,61890.53,56659.25666666666,67618.40000000001,71131.61,62309.87333333333,59964.74,60430.45333333334
8.0,2021,9.0,32603.513333333336,47764.14333333334,45676.253333333334,26501.64666666667,14100.546666666667,3321.203333333333,582.6650000000001,235.42999999999998,0.0,0.0,528.4549999999999,13145.38
8.0,2021,10.0,1329.8255555555556,3515.8800000000006,432.07166666666666,745.5333333333334,1059.0,548.1566666666666,1101.36,754.3683333333333,940.0066666666667,789.2516666666667,956.0533333333334,842.4583333333334
9.0,2016,5.0,0.0,32149.6,36805.9,27244.49,24548.76,16395.39,18571.6,21284.13,25783.55,19323.32,22620.11,30063.1
9.0,2016,6.0,0.0,91810.82,78358.28,66745.21,45661.37,14949.95,7294.52,9417.46,10313.88,6278.85,25020.25,43084.042499999996
9.0,2016,7.0,695.655,717.9150000000001,717.9150000000001,699.965,574.3299999999999,646.12,0.0,1053.635,706.015,1255.145,902.13,706.0149999999999
9.0,2017,5.0,10636.12,17731.18,39229.92,20431.83,12601.28,13883.44,15675.91,19430.72,23059.84,18254.51,15873.65,6347.715
9.0,2017,6.0,65197.715,54544.655,53669.865,43574.815,29142.335,2956.83,5702.665,4275.815,3636.215,5542.165,6395.495,30203.456666666665
